"시점","신혼부부 특성별(1)","신혼부부 특성별(2)",소득구간별(1),데이터
"2016","시도별","세종특별자치시",소득 평균 (만원),5331
"2016","시도별","경기도",소득 평균 (만원),4960
"2016","시도별","강원도",소득 평균 (만원),4065
"2016","시도별","충청북도",소득 평균 (만원),4442
"2016","시도별","충청남도",소득 평균 (만원),4735
"2016","시도별","전라북도",소득 평균 (만원),3886
"2016","시도별","전라남도",소득 평균 (만원),3797
"2016","시도별","경상북도",소득 평균 (만원),4127
"2016","시도별","경상남도",소득 평균 (만원),4239
"2016","시도별","제주특별자치도",소득 평균 (만원),3787
"2016","맞벌이여부별","맞벌이",소득 평균 (만원),6752
"2016","맞벌이여부별","외벌이",소득 평균 (만원),3847
"2016","맞벌이여부별","미상",소득 평균 (만원),837
"2016","출산자녀수별","무자녀",소득 평균 (만원),5222
"2016","출산자녀수별","유자녀",소득 평균 (만원),4550
"2016","주택소유물건수별","주택 미소유",소득 평균 (만원),4368
"2016","주택소유물건수별","주택 소유",소득 평균 (만원),5297
"2017","전국","소계",소득 평균 (만원),5011
"2017","혼인연차별","혼인1년차",소득 평균 (만원),5079
"2017","혼인연차별","혼인2년차",소득 평균 (만원),4883
"2017","혼인연차별","혼인3년차",소득 평균 (만원),4877
"2017","혼인연차별","혼인4년차",소득 평균 (만원),5061
"2017","혼인연차별","혼인5년차",소득 평균 (만원),5153
"2017","시도별","서울특별시",소득 평균 (만원),6119
"2017","시도별","부산광역시",소득 평균 (만원),4769
"2017","시도별","대구광역시",소득 평균 (만원),4393
"2017","시도별","인천광역시",소득 평균 (만원),4441
"2017","시도별","광주광역시",소득 평균 (만원),4460
"2017","시도별","대전광역시",소득 평균 (만원),4984
"2017","시도별","울산광역시",소득 평균 (만원),5153
"2017","시도별","세종특별자치시",소득 평균 (만원),5870
"2017","시도별","경기도",소득 평균 (만원),5173
"2017","시도별","강원도",소득 평균 (만원),4301
"2017","시도별","충청북도",소득 평균 (만원),4637
"2017","시도별","충청남도",소득 평균 (만원),5136
"2017","시도별","전라북도",소득 평균 (만원),4025
"2017","시도별","전라남도",소득 평균 (만원),3990
"2017","시도별","경상북도",소득 평균 (만원),4472
"2017","시도별","경상남도",소득 평균 (만원),4264
"2017","시도별","제주특별자치도",소득 평균 (만원),3941
"2017","맞벌이여부별","맞벌이",소득 평균 (만원),7020
"2017","맞벌이여부별","외벌이",소득 평균 (만원),4048
"2017","맞벌이여부별","미상",소득 평균 (만원),854
"2017","출산자녀수별","무자녀",소득 평균 (만원),5473
"2017","출산자녀수별","유자녀",소득 평균 (만원),4764
"2017","주택소유물건수별","주택 미소유",소득 평균 (만원),4588
"2017","주택소유물건수별","주택 소유",소득 평균 (만원),5535
"2018","전국","소계",소득 평균 (만원),5223
"2018","혼인연차별","혼인1년차",소득 평균 (만원),5296
"2018","혼인연차별","혼인2년차",소득 평균 (만원),5125
"2018","혼인연차별","혼인3년차",소득 평균 (만원),5257
"2018","혼인연차별","혼인4년차",소득 평균 (만원),5113
"2018","혼인연차별","혼인5년차",소득 평균 (만원),5318
"2018","시도별","서울특별시",소득 평균 (만원),6447
"2018","시도별","부산광역시",소득 평균 (만원),4880
"2018","시도별","대구광역시",소득 평균 (만원),4769
"2018","시도별","인천광역시",소득 평균 (만원),4639
"2018","시도별","광주광역시",소득 평균 (만원),4770
"2018","시도별","대전광역시",소득 평균 (만원),4933
"2018","시도별","울산광역시",소득 평균 (만원),5203
"2018","시도별","세종특별자치시",소득 평균 (만원),5936
"2018","시도별","경기도",소득 평균 (만원),5417
"2018","시도별","강원도",소득 평균 (만원),4356
"2018","시도별","충청북도",소득 평균 (만원),4927
"2018","시도별","충청남도",소득 평균 (만원),5162
"2018","시도별","전라북도",소득 평균 (만원),4196
"2018","시도별","전라남도",소득 평균 (만원),4249
"2018","시도별","경상북도",소득 평균 (만원),4405
"2018","시도별","경상남도",소득 평균 (만원),4481
"2018","시도별","제주특별자치도",소득 평균 (만원),4256
"2018","맞벌이여부별","맞벌이",소득 평균 (만원),7205
"2018","맞벌이여부별","외벌이",소득 평균 (만원),4113
"2018","맞벌이여부별","미상",소득 평균 (만원),854
"2018","출산자녀수별","무자녀",소득 평균 (만원),5714
"2018","출산자녀수별","유자녀",소득 평균 (만원),4932
"2018","주택소유물건수별","주택 미소유",소득 평균 (만원),4762
"2018","주택소유물건수별","주택 소유",소득 평균 (만원),5787
"2019","전국","소계",소득 평균 (만원),5380
"2019","혼인연차별","혼인1년차",소득 평균 (만원),5471
"2019","혼인연차별","혼인2년차",소득 평균 (만원),5292
"2019","혼인연차별","혼인3년차",소득 평균 (만원),5297
"2019","혼인연차별","혼인4년차",소득 평균 (만원),5304
"2019","혼인연차별","혼인5년차",소득 평균 (만원),5530
"2019","시도별","서울특별시",소득 평균 (만원),6804
"2019","시도별","부산광역시",소득 평균 (만원),5055
"2019","시도별","대구광역시",소득 평균 (만원),4718
"2019","시도별","인천광역시",소득 평균 (만원),4715
"2019","시도별","광주광역시",소득 평균 (만원),4969
"2019","시도별","대전광역시",소득 평균 (만원),5179
"2019","시도별","울산광역시",소득 평균 (만원),5165
"2019","시도별","세종특별자치시",소득 평균 (만원),6036
"2019","시도별","경기도",소득 평균 (만원),5470
"2019","시도별","강원도",소득 평균 (만원),4669
"2019","시도별","충청북도",소득 평균 (만원),5206
"2019","시도별","충청남도",소득 평균 (만원),5154
"2019","시도별","전라북도",소득 평균 (만원),4319
"2019","시도별","전라남도",소득 평균 (만원),4439
"2019","시도별","경상북도",소득 평균 (만원),4563
"2019","시도별","경상남도",소득 평균 (만원),4759
"2019","시도별","제주특별자치도",소득 평균 (만원),4230
"2019","맞벌이여부별","맞벌이",소득 평균 (만원),7399
"2019","맞벌이여부별","외벌이",소득 평균 (만원),4151
"2019","맞벌이여부별","미상",소득 평균 (만원),917
"2019","출산자녀수별","무자녀",소득 평균 (만원),5910
"2019","출산자녀수별","유자녀",소득 평균 (만원),5039
"2019","주택소유물건수별","주택 미소유",소득 평균 (만원),4893
"2019","주택소유물건수별","주택 소유",소득 평균 (만원),5992
"2020","전국","소계",소득 평균 (만원),5647
"2020","혼인연차별","혼인1년차",소득 평균 (만원),5781
"2020","혼인연차별","혼인2년차",소득 평균 (만원),5455
"2020","혼인연차별","혼인3년차",소득 평균 (만원),5548
"2020","혼인연차별","혼인4년차",소득 평균 (만원),5637
"2020","혼인연차별","혼인5년차",소득 평균 (만원),5809
"2020","시도별","서울특별시",소득 평균 (만원),7197
"2020","시도별","부산광역시",소득 평균 (만원),5345
"2020","시도별","대구광역시",소득 평균 (만원),5058
"2020","시도별","인천광역시",소득 평균 (만원),5118
"2020","시도별","광주광역시",소득 평균 (만원),5178
"2020","시도별","대전광역시",소득 평균 (만원),5330
"2020","시도별","울산광역시",소득 평균 (만원),5675
"2020","시도별","세종특별자치시",소득 평균 (만원),6198
"2020","시도별","경기도",소득 평균 (만원),5685
"2020","시도별","강원도",소득 평균 (만원),4782
"2020","시도별","충청북도",소득 평균 (만원),5302
"2020","시도별","충청남도",소득 평균 (만원),5439
"2020","시도별","전라북도",소득 평균 (만원),4620
"2020","시도별","전라남도",소득 평균 (만원),4671
"2020","시도별","경상북도",소득 평균 (만원),4736
"2020","시도별","경상남도",소득 평균 (만원),4896
"2020","시도별","제주특별자치도",소득 평균 (만원),4184
"2020","맞벌이여부별","맞벌이",소득 평균 (만원),7527
"2020","맞벌이여부별","외벌이",소득 평균 (만원),4344
"2020","맞벌이여부별","미상",소득 평균 (만원),869
"2020","출산자녀수별","무자녀",소득 평균 (만원),6115
"2020","출산자녀수별","유자녀",소득 평균 (만원),5323
"2020","주택소유물건수별","주택 미소유",소득 평균 (만원),5097
"2020","주택소유물건수별","주택 소유",소득 평균 (만원),6357
"2021","전국","소계",소득 평균 (만원),6086
"2021","혼인연차별","혼인1년차",소득 평균 (만원),6421
"2021","혼인연차별","혼인2년차",소득 평균 (만원),5947
"2021","혼인연차별","혼인3년차",소득 평균 (만원),5845
"2021","혼인연차별","혼인4년차",소득 평균 (만원),6132
"2021","혼인연차별","혼인5년차",소득 평균 (만원),6122
"2021","시도별","서울특별시",소득 평균 (만원),7857
"2021","시도별","부산광역시",소득 평균 (만원),5656
"2021","시도별","대구광역시",소득 평균 (만원),5461
"2021","시도별","인천광역시",소득 평균 (만원),5174
"2021","시도별","광주광역시",소득 평균 (만원),5523
"2021","시도별","대전광역시",소득 평균 (만원),5755
"2021","시도별","울산광역시",소득 평균 (만원),5832
"2021","시도별","세종특별자치시",소득 평균 (만원),6549
"2021","시도별","경기도",소득 평균 (만원),6249
"2021","시도별","강원도",소득 평균 (만원),5294
"2021","시도별","충청북도",소득 평균 (만원),5632
"2021","시도별","충청남도",소득 평균 (만원),5779
"2021","시도별","전라북도",소득 평균 (만원),4926
"2021","시도별","전라남도",소득 평균 (만원),5112
"2021","시도별","경상북도",소득 평균 (만원),5036
"2021","시도별","경상남도",소득 평균 (만원),5084
"2021","시도별","제주특별자치도",소득 평균 (만원),4496
"2021","맞벌이여부별","맞벌이",소득 평균 (만원),7879
"2021","맞벌이여부별","외벌이",소득 평균 (만원),4692
"2021","맞벌이여부별","미상",소득 평균 (만원),967
"2021","출산자녀수별","무자녀",소득 평균 (만원),6684
"2021","출산자녀수별","유자녀",소득 평균 (만원),5655
"2021","주택소유물건수별","주택 미소유",소득 평균 (만원),5521
"2021","주택소유물건수별","주택 소유",소득 평균 (만원),6818
